entity,cidr
eu-west-1,150.222.85.0/24
eu-central-1,150.222.245.122/31
us-gov-east-1,52.95.168.0/24
ap-southeast-1,52.144.224.128/26
GLOBAL,54.192.0.0/16
us-west-1,54.239.0.16/28
ap-southeast-1,54.239.0.96/28
af-south-1,99.77.148.0/24
us-east-2,15.230.39.40/31
sa-east-1,52.95.240.0/24
ap-northeast-1,52.219.16.0/22
us-east-1,75.101.128.0/17
eu-central-1,150.222.129.122/31
eu-south-1,150.222.243.177/32
eu-south-1,150.222.244.37/32
us-east-1,176.32.125.234/31
GLOBAL,204.246.173.0/24
ca-central-1,15.222.0.0/15
us-east-2,52.93.62.0/24
us-west-2,52.93.20.0/24
us-east-1,52.144.192.0/26
ap-southeast-2,150.222.112.0/24
us-west-1,204.236.128.0/18
ap-south-1,3.5.208.0/22
ap-northeast-2,15.177.76.0/24
eu-west-1,52.30.0.0/15
ap-northeast-1,52.94.8.0/24
us-west-2,52.94.249.64/28
ap-northeast-1,54.92.0.0/17
eu-west-1,54.154.0.0/16
us-east-2,64.252.76.0/24
us-east-1,67.202.0.0/18
ap-southeast-1,103.246.148.0/23
GLOBAL,15.197.0.0/23
us-east-1,54.226.0.0/15
us-east-1,162.250.237.0/24
ap-northeast-1,3.112.0.0/14
eu-west-1,52.95.244.0/24
ap-northeast-1,64.252.111.0/24
us-east-1,99.82.188.0/22
us-east-1,15.230.18.0/24
sa-east-1,18.231.0.0/16
ap-southeast-2,54.252.0.0/16
GLOBAL,120.253.240.192/26
us-east-1,150.222.79.0/24
us-east-1,3.224.0.0/12
us-east-2,15.230.39.2/31
eu-west-1,52.94.216.0/21
us-east-1,52.144.192.192/26
us-east-2,52.144.196.192/26
us-east-1,54.221.0.0/16
us-east-1,54.240.202.0/24
ap-southeast-1,54.255.0.0/16
cn-northwest-1,3.5.216.0/24
ap-east-1,52.119.248.0/24
cn-north-1,54.239.0.144/28
eu-central-1,150.222.129.132/31
sa-east-1,15.228.0.0/15
af-south-1,52.93.57.0/24
us-east-1,52.95.63.0/24
sa-east-1,54.233.0.0/18
us-west-1,99.82.172.0/24
GLOBAL,116.129.226.128/26
ap-southeast-2,150.222.82.0/24
eu-south-1,150.222.243.43/32
eu-south-1,150.222.244.35/32
eu-west-2,35.176.0.0/15
us-east-1,54.239.112.0/24
us-west-2,70.224.192.0/18
us-east-2,99.77.153.0/24
ap-northeast-1,150.222.105.0/24
eu-west-1,99.77.155.0/24
ap-southeast-1,52.95.255.32/28
ap-southeast-2,52.144.229.0/26
us-gov-west-1,160.1.0.0/16
us-east-2,3.5.128.0/22
ca-central-1,15.230.21.0/24
us-east-2,18.216.0.0/14
us-east-1,34.192.0.0/12
us-west-1,52.93.37.222/32
ca-central-1,52.94.64.0/22
us-west-2,54.231.160.0/19
ap-southeast-2,3.104.0.0/14
eu-west-2,15.193.5.0/24
us-east-2,15.230.39.24/31
us-east-2,15.230.39.162/31
cn-north-1,52.80.0.0/16
us-east-1,52.95.216.0/22
us-east-1,52.119.232.0/21
ca-central-1,52.144.201.128/26
us-east-1,54.231.244.0/22
us-east-1,150.222.99.0/24
us-west-2,150.222.218.0/24
ap-southeast-1,175.41.128.0/18
us-east-1,176.32.125.250/31
us-east-2,15.230.39.194/31
us-east-1,54.239.108.0/22
us-east-1,64.252.68.0/24
ap-northeast-1,150.222.133.0/24
sa-east-1,18.229.0.0/16
us-east-1,52.94.68.0/24
ap-northeast-2,52.95.192.0/20
